model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,abstract_algebra,40,0.375
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,anatomy,54,0.7037037037037037
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,astronomy,61,0.7213114754098361
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,business_ethics,40,0.675
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,clinical_knowledge,106,0.7830188679245284
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_biology,58,0.7586206896551724
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_chemistry,40,0.35
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_computer_science,40,0.65
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_mathematics,40,0.5
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_medicine,69,0.6666666666666666
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_physics,41,0.3902439024390244
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,computer_security,40,0.825
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,conceptual_physics,94,0.6382978723404256
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,econometrics,46,0.5652173913043478
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,electrical_engineering,58,0.5862068965517241
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,elementary_mathematics,151,0.5695364238410596
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,formal_logic,50,0.4
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,global_facts,40,0.5
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_biology,124,0.8225806451612904
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_chemistry,81,0.5679012345679012
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_computer_science,40,0.775
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_european_history,66,0.7424242424242424
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_geography,79,0.8607594936708861
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_government_and_politics,77,0.9090909090909091
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_macroeconomics,156,0.6602564102564102
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_mathematics,108,0.4166666666666667
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_microeconomics,95,0.7368421052631579
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_physics,60,0.4666666666666667
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_psychology,218,0.8990825688073395
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_statistics,86,0.5
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_us_history,82,0.8658536585365854
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_world_history,95,0.8736842105263158
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_aging,89,0.7415730337078652
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_sexuality,52,0.8076923076923077
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,international_law,48,0.7916666666666666
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,jurisprudence,43,0.813953488372093
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,logical_fallacies,65,0.7846153846153846
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,machine_learning,45,0.37777777777777777
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,management,41,0.9024390243902439
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,marketing,94,0.9148936170212766
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,medical_genetics,40,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,miscellaneous,313,0.8753993610223643
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_disputes,138,0.7608695652173914
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_scenarios,358,0.4441340782122905
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,nutrition,122,0.7295081967213115
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,philosophy,124,0.717741935483871
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,prehistory,130,0.6692307692307692
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_accounting,113,0.48672566371681414
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_law,614,0.503257328990228
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_medicine,109,0.7706422018348624
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_psychology,245,0.7183673469387755
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,public_relations,44,0.6590909090909091
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,security_studies,98,0.8061224489795918
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,sociology,80,0.8625
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,us_foreign_policy,40,0.875
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,virology,66,0.5454545454545454
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,world_religions,68,0.8088235294117647
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,__OVERALL_WEIGHTED__,5614,0.6752760954755967
