model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,abstract_algebra,40,0.3
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,anatomy,54,0.7037037037037037
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,astronomy,61,0.7213114754098361
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,business_ethics,40,0.625
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,clinical_knowledge,106,0.7830188679245284
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_biology,58,0.7241379310344828
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_chemistry,40,0.375
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_computer_science,40,0.625
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_mathematics,40,0.275
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_medicine,69,0.6521739130434783
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_physics,41,0.4146341463414634
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,computer_security,40,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,conceptual_physics,94,0.6808510638297872
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,econometrics,46,0.5434782608695652
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,electrical_engineering,58,0.5862068965517241
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,elementary_mathematics,151,0.5695364238410596
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,formal_logic,50,0.42
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,global_facts,40,0.425
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_biology,124,0.8629032258064516
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_chemistry,81,0.5432098765432098
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_computer_science,40,0.775
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_european_history,66,0.7272727272727273
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_geography,79,0.8607594936708861
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_government_and_politics,77,0.9090909090909091
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_macroeconomics,156,0.6538461538461539
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_mathematics,108,0.39814814814814814
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_microeconomics,95,0.7473684210526316
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_physics,60,0.4666666666666667
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_psychology,218,0.8853211009174312
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_statistics,86,0.5
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_us_history,82,0.8536585365853658
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_world_history,95,0.8842105263157894
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_aging,89,0.7303370786516854
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_sexuality,52,0.7307692307692307
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,international_law,48,0.75
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,jurisprudence,43,0.7906976744186046
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,logical_fallacies,65,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,machine_learning,45,0.35555555555555557
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,management,41,0.8536585365853658
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,marketing,94,0.9042553191489362
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,medical_genetics,40,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,miscellaneous,313,0.8690095846645367
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_disputes,138,0.7971014492753623
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_scenarios,358,0.36312849162011174
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,nutrition,122,0.7049180327868853
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,philosophy,124,0.7338709677419355
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,prehistory,130,0.6307692307692307
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_accounting,113,0.504424778761062
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_law,614,0.48697068403908794
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_medicine,109,0.7431192660550459
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_psychology,245,0.7387755102040816
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,public_relations,44,0.7045454545454546
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,security_studies,98,0.7755102040816326
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,sociology,80,0.8375
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,us_foreign_policy,40,0.875
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,virology,66,0.5303030303030303
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,world_religions,68,0.8235294117647058
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,__OVERALL_WEIGHTED__,5614,0.6626291414321339
