model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,baseline_regex_v1,abstract_algebra,40,0.275
openai/gpt-3.5-turbo,baseline_regex_v1,anatomy,54,0.6851851851851852
openai/gpt-3.5-turbo,baseline_regex_v1,astronomy,61,0.6557377049180327
openai/gpt-3.5-turbo,baseline_regex_v1,business_ethics,40,0.45
openai/gpt-3.5-turbo,baseline_regex_v1,clinical_knowledge,106,0.7358490566037735
openai/gpt-3.5-turbo,baseline_regex_v1,college_biology,58,0.7068965517241379
openai/gpt-3.5-turbo,baseline_regex_v1,college_chemistry,40,0.275
openai/gpt-3.5-turbo,baseline_regex_v1,college_computer_science,40,0.525
openai/gpt-3.5-turbo,baseline_regex_v1,college_mathematics,40,0.375
openai/gpt-3.5-turbo,baseline_regex_v1,college_medicine,69,0.6231884057971014
openai/gpt-3.5-turbo,baseline_regex_v1,college_physics,41,0.5121951219512195
openai/gpt-3.5-turbo,baseline_regex_v1,computer_security,40,0.825
openai/gpt-3.5-turbo,baseline_regex_v1,conceptual_physics,94,0.5425531914893617
openai/gpt-3.5-turbo,baseline_regex_v1,econometrics,46,0.5869565217391305
openai/gpt-3.5-turbo,baseline_regex_v1,electrical_engineering,58,0.603448275862069
openai/gpt-3.5-turbo,baseline_regex_v1,elementary_mathematics,151,0.5231788079470199
openai/gpt-3.5-turbo,baseline_regex_v1,formal_logic,50,0.42
openai/gpt-3.5-turbo,baseline_regex_v1,global_facts,40,0.475
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_biology,124,0.8145161290322581
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_chemistry,81,0.48148148148148145
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_computer_science,40,0.75
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_european_history,66,0.6666666666666666
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_geography,79,0.810126582278481
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_government_and_politics,77,0.8571428571428571
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_macroeconomics,156,0.6410256410256411
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_mathematics,108,0.35185185185185186
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_microeconomics,95,0.7684210526315789
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_physics,60,0.4166666666666667
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_psychology,218,0.8715596330275229
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_statistics,86,0.5116279069767442
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_us_history,82,0.8658536585365854
openai/gpt-3.5-turbo,baseline_regex_v1,high_school_world_history,95,0.8947368421052632
openai/gpt-3.5-turbo,baseline_regex_v1,human_aging,89,0.6404494382022472
openai/gpt-3.5-turbo,baseline_regex_v1,human_sexuality,52,0.7115384615384616
openai/gpt-3.5-turbo,baseline_regex_v1,international_law,48,0.7916666666666666
openai/gpt-3.5-turbo,baseline_regex_v1,jurisprudence,43,0.7441860465116279
openai/gpt-3.5-turbo,baseline_regex_v1,logical_fallacies,65,0.6923076923076923
openai/gpt-3.5-turbo,baseline_regex_v1,machine_learning,45,0.4
openai/gpt-3.5-turbo,baseline_regex_v1,management,41,0.8780487804878049
openai/gpt-3.5-turbo,baseline_regex_v1,marketing,94,0.9042553191489362
openai/gpt-3.5-turbo,baseline_regex_v1,medical_genetics,40,0.825
openai/gpt-3.5-turbo,baseline_regex_v1,miscellaneous,313,0.865814696485623
openai/gpt-3.5-turbo,baseline_regex_v1,moral_disputes,138,0.7608695652173914
openai/gpt-3.5-turbo,baseline_regex_v1,moral_scenarios,358,0.35195530726256985
openai/gpt-3.5-turbo,baseline_regex_v1,nutrition,122,0.7540983606557377
openai/gpt-3.5-turbo,baseline_regex_v1,philosophy,124,0.75
openai/gpt-3.5-turbo,baseline_regex_v1,prehistory,130,0.6307692307692307
openai/gpt-3.5-turbo,baseline_regex_v1,professional_accounting,113,0.4690265486725664
openai/gpt-3.5-turbo,baseline_regex_v1,professional_law,614,0.4739413680781759
openai/gpt-3.5-turbo,baseline_regex_v1,professional_medicine,109,0.7889908256880734
openai/gpt-3.5-turbo,baseline_regex_v1,professional_psychology,245,0.7061224489795919
openai/gpt-3.5-turbo,baseline_regex_v1,public_relations,44,0.6136363636363636
openai/gpt-3.5-turbo,baseline_regex_v1,security_studies,98,0.7244897959183674
openai/gpt-3.5-turbo,baseline_regex_v1,sociology,80,0.825
openai/gpt-3.5-turbo,baseline_regex_v1,us_foreign_policy,40,0.8
openai/gpt-3.5-turbo,baseline_regex_v1,virology,66,0.5303030303030303
openai/gpt-3.5-turbo,baseline_regex_v1,world_religions,68,0.8382352941176471
openai/gpt-3.5-turbo,baseline_regex_v1,__OVERALL_WEIGHTED__,5614,0.6433915211970075
