model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,baseline_reasoning_v2,abstract_algebra,20,0.4
openai/gpt-3.5-turbo,baseline_reasoning_v2,anatomy,27,0.7407407407407407
openai/gpt-3.5-turbo,baseline_reasoning_v2,astronomy,30,0.43333333333333335
openai/gpt-3.5-turbo,baseline_reasoning_v2,business_ethics,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,clinical_knowledge,53,0.5660377358490566
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_biology,29,0.6551724137931034
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_chemistry,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_computer_science,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_mathematics,20,0.45
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_medicine,35,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,college_physics,20,0.15
openai/gpt-3.5-turbo,baseline_reasoning_v2,computer_security,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,conceptual_physics,47,0.5531914893617021
openai/gpt-3.5-turbo,baseline_reasoning_v2,econometrics,23,0.391304347826087
openai/gpt-3.5-turbo,baseline_reasoning_v2,electrical_engineering,29,0.6206896551724138
openai/gpt-3.5-turbo,baseline_reasoning_v2,elementary_mathematics,76,0.4868421052631579
openai/gpt-3.5-turbo,baseline_reasoning_v2,formal_logic,25,0.24
openai/gpt-3.5-turbo,baseline_reasoning_v2,global_facts,20,0.35
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_biology,62,0.7580645161290323
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_chemistry,41,0.5365853658536586
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_computer_science,20,0.7
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_european_history,33,0.6060606060606061
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_geography,40,0.8
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_government_and_politics,39,0.7692307692307693
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_macroeconomics,78,0.6025641025641025
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_mathematics,54,0.6851851851851852
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_microeconomics,48,0.5833333333333334
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_physics,30,0.36666666666666664
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_psychology,109,0.8165137614678899
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_statistics,43,0.46511627906976744
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_us_history,41,0.8292682926829268
openai/gpt-3.5-turbo,baseline_reasoning_v2,high_school_world_history,47,0.723404255319149
openai/gpt-3.5-turbo,baseline_reasoning_v2,human_aging,45,0.7777777777777778
openai/gpt-3.5-turbo,baseline_reasoning_v2,human_sexuality,26,0.6923076923076923
openai/gpt-3.5-turbo,baseline_reasoning_v2,international_law,24,0.6666666666666666
openai/gpt-3.5-turbo,baseline_reasoning_v2,jurisprudence,22,0.6818181818181818
openai/gpt-3.5-turbo,baseline_reasoning_v2,logical_fallacies,33,0.48484848484848486
openai/gpt-3.5-turbo,baseline_reasoning_v2,machine_learning,22,0.36363636363636365
openai/gpt-3.5-turbo,baseline_reasoning_v2,management,21,0.7142857142857143
openai/gpt-3.5-turbo,baseline_reasoning_v2,marketing,47,0.8297872340425532
openai/gpt-3.5-turbo,baseline_reasoning_v2,medical_genetics,20,0.6
openai/gpt-3.5-turbo,baseline_reasoning_v2,miscellaneous,157,0.802547770700637
openai/gpt-3.5-turbo,baseline_reasoning_v2,moral_disputes,69,0.6086956521739131
openai/gpt-3.5-turbo,baseline_reasoning_v2,moral_scenarios,179,0.31843575418994413
openai/gpt-3.5-turbo,baseline_reasoning_v2,nutrition,61,0.7377049180327869
openai/gpt-3.5-turbo,baseline_reasoning_v2,philosophy,62,0.7580645161290323
openai/gpt-3.5-turbo,baseline_reasoning_v2,prehistory,65,0.6307692307692307
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_accounting,56,0.42857142857142855
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_law,307,0.3941368078175896
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_medicine,54,0.6666666666666666
openai/gpt-3.5-turbo,baseline_reasoning_v2,professional_psychology,122,0.5901639344262295
openai/gpt-3.5-turbo,baseline_reasoning_v2,public_relations,22,0.6818181818181818
openai/gpt-3.5-turbo,baseline_reasoning_v2,security_studies,49,0.6326530612244898
openai/gpt-3.5-turbo,baseline_reasoning_v2,sociology,40,0.8
openai/gpt-3.5-turbo,baseline_reasoning_v2,us_foreign_policy,20,0.9
openai/gpt-3.5-turbo,baseline_reasoning_v2,virology,33,0.3939393939393939
openai/gpt-3.5-turbo,baseline_reasoning_v2,world_religions,34,0.7647058823529411
openai/gpt-3.5-turbo,baseline_reasoning_v2,__OVERALL_WEIGHTED__,2809,0.5906016375934496
