model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,abstract_algebra,100,0.32
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,anatomy,135,0.674074074074074
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,astronomy,152,0.7697368421052632
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,business_ethics,100,0.73
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,clinical_knowledge,265,0.7622641509433963
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_biology,144,0.7916666666666666
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_chemistry,100,0.46
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_computer_science,100,0.58
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_mathematics,100,0.36
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_medicine,173,0.6820809248554913
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_physics,102,0.43137254901960786
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,computer_security,100,0.81
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,conceptual_physics,235,0.6425531914893617
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,econometrics,114,0.49122807017543857
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,electrical_engineering,145,0.6482758620689655
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,elementary_mathematics,378,0.4947089947089947
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,formal_logic,126,0.4365079365079365
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,global_facts,100,0.47
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_biology,310,0.7838709677419354
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_chemistry,203,0.5320197044334976
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_computer_science,100,0.76
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_european_history,165,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_geography,198,0.8686868686868687
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_government_and_politics,193,0.9067357512953368
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_macroeconomics,390,0.658974358974359
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_mathematics,270,0.3851851851851852
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_microeconomics,238,0.7521008403361344
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_physics,151,0.37748344370860926
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_psychology,545,0.8733944954128441
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_statistics,216,0.5231481481481481
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_us_history,204,0.8676470588235294
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_world_history,237,0.8354430379746836
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_aging,223,0.757847533632287
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_sexuality,131,0.8091603053435115
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,international_law,121,0.8181818181818182
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,jurisprudence,108,0.8055555555555556
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,logical_fallacies,163,0.7852760736196319
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,machine_learning,112,0.42857142857142855
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,management,103,0.8349514563106796
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,marketing,234,0.9358974358974359
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,medical_genetics,100,0.73
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,miscellaneous,783,0.8825031928480205
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_disputes,346,0.7658959537572254
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_scenarios,895,0.4759776536312849
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,nutrition,306,0.7581699346405228
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,philosophy,311,0.7620578778135049
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,prehistory,324,0.7530864197530864
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_accounting,282,0.4929078014184397
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_law,1534,0.5130378096479792
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_medicine,272,0.7830882352941176
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_psychology,612,0.7369281045751634
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,public_relations,110,0.7090909090909091
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,security_studies,245,0.7551020408163265
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,sociology,201,0.845771144278607
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,us_foreign_policy,100,0.88
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,virology,166,0.5301204819277109
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,world_religions,171,0.8421052631578947
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,__OVERALL_WEIGHTED__,14042,0.6781085315482125
