model,prompt_version,subject,n,accuracy
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,abstract_algebra,40,0.375
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,anatomy,54,0.7407407407407407
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,astronomy,61,0.7377049180327869
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,business_ethics,40,0.625
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,clinical_knowledge,106,0.7924528301886793
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_biology,58,0.7586206896551724
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_chemistry,40,0.4
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_computer_science,40,0.65
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_mathematics,40,0.3
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_medicine,69,0.7101449275362319
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,college_physics,41,0.4146341463414634
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,computer_security,40,0.825
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,conceptual_physics,94,0.6170212765957447
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,econometrics,46,0.5652173913043478
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,electrical_engineering,58,0.5862068965517241
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,elementary_mathematics,151,0.4900662251655629
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,formal_logic,50,0.4
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,global_facts,40,0.4
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_biology,124,0.8387096774193549
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_chemistry,81,0.5432098765432098
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_computer_science,40,0.825
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_european_history,66,0.7424242424242424
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_geography,79,0.8227848101265823
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_government_and_politics,77,0.8571428571428571
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_macroeconomics,156,0.6730769230769231
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_mathematics,108,0.37962962962962965
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_microeconomics,95,0.7473684210526316
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_physics,60,0.43333333333333335
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_psychology,218,0.908256880733945
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_statistics,86,0.5348837209302325
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_us_history,82,0.8536585365853658
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,high_school_world_history,95,0.8947368421052632
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_aging,89,0.7303370786516854
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,human_sexuality,52,0.8461538461538461
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,international_law,48,0.8541666666666666
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,jurisprudence,43,0.7906976744186046
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,logical_fallacies,65,0.7692307692307693
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,machine_learning,45,0.37777777777777777
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,management,41,0.8536585365853658
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,marketing,94,0.8936170212765957
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,medical_genetics,40,0.8
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,miscellaneous,313,0.8849840255591054
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_disputes,138,0.7898550724637681
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,moral_scenarios,358,0.3435754189944134
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,nutrition,122,0.7213114754098361
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,philosophy,124,0.7096774193548387
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,prehistory,130,0.7153846153846154
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_accounting,113,0.4778761061946903
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_law,614,0.49348534201954397
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_medicine,109,0.7522935779816514
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,professional_psychology,245,0.7346938775510204
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,public_relations,44,0.6363636363636364
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,security_studies,98,0.7959183673469388
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,sociology,80,0.85
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,us_foreign_policy,40,0.85
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,virology,66,0.5454545454545454
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,world_religions,68,0.8088235294117647
openai/gpt-3.5-turbo,paper_5shot_strict_logprobs,__OVERALL_WEIGHTED__,5614,0.665301033131457
