question_id,subject,model,mode,model_extracted_output,correct_answer,correct,notes,request_time_ms
Polymer_Science_and_Technology_Fried_Example 1.1,Materials: Polymers,openai/o4-mini,text_only,"(31250,62000,1.984)","(31250, 62000, 1.98)",Y,llm_only,13180
Polymer_Science_and_Technology_Fried_Example 1.3,Materials: Polymers,openai/o4-mini,text_only,"\bigl(-\frac{1}{\ln p},\;-\frac{2}{\ln p}\bigr)","($\frac{1}{1-p}$, $\frac{1+p}{1-p}$)",N,llm_only,22639
Polymer_Science_and_Technology_Fried_Example 2.2,Materials: Polymers,openai/o4-mini,text_only,6.4141\times10^{4},64055,N,llm_only,15297
Polymer_Science_and_Technology_Fried_Example 2.3,Materials: Polymers,openai/o4-mini,text_only,2.44×10^4,24324,N,llm_only,13619
Polymer_Science_and_Technology_Fried_Example 13.1,Materials: Polymers,openai/o4-mini,text_only,1.08,1.073,N,llm_only,30304
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.1,Materials: Metals,openai/o4-mini,text_only,6.7\times10^{10},6.64E+10,Y,llm_only,13148
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.2,Structures: Composites,openai/o4-mini,text_only,3.60,3.60,N,llm_only,13196
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.3,Materials: Metals,openai/o4-mini,text_only,"(13.97,2.408,2.408)","(13.97, 2.408, 24.08)",N,llm_only,26928
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_1,Structures: Composites,openai/o4-mini,text_only,"(8.73\times10^{-9},8.73\times10^{-9})","($8.64 \times 10^{-9}$, $-8.64 \times 10^{-9}$)",N,llm_only,42247
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.6_2,Materials: Metals,openai/o4-mini,text_only,"(2.97\times10^{-9},2.97\times10^{-9})","(2.98 \times 10^{-9}, -2.98 \times 10^{-9})",Y,llm_only,12050
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.7,Materials: Metals,openai/o4-mini,text_only,0.732,0.732,N,llm_only,10603
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.8,Materials: Ceramics,openai/o4-mini,text_only,"(6,2,8,6,4,6)","(6, 2, 8, 6, 4, 6)",Y,llm_only,13271
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.9,Materials: Polymers,openai/o4-mini,text_only,-60,60,N,llm_only,11746
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.11,Materials: Polymers,openai/o4-mini,text_only,128,126,N,llm_only,23858
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 2.13,Fundamental: Atomic Bonding,openai/o4-mini,text_only,"(3.82\times10^{-10},-1.66\times10^{-21})","(0.382, -0.999)",N,llm_only,23939
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.2,Materials: Metals,openai/o4-mini,text_only,8.87,8.89,Y,llm_only,21340
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.4,Fundamental: Crystal Structure,openai/o4-mini,text_only,3.61,3.61,Y,llm_only,15271
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.7,Materials: Semiconductors,openai/o4-mini,text_only,2.36\times10^{3},2.36,Y,llm_only,20820
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.9,Fundamental: Crystal Structure,openai/o4-mini,text_only,"\bigl((0,0,0),(1/2,1/2,0)\bigr)","(000, $\frac{1}{2} \frac{1}{2} 0$, 110)",Y,llm_only,25943
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.11,Fundamental: Crystal Structure,openai/o4-mini,text_only,35.26,35.3,N,llm_only,33235
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.12,Properties: Mechanical,openai/o4-mini,text_only,"(a/3,-a,\;a)","($\frac{1}{3}$, -1, 1)",Y,llm_only,8061
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.14,Materials: Metals,openai/o4-mini,text_only,"(3.65,1.43)","(3.65, 1.43)",Y,llm_only,33369
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.15,Materials: Metals,openai/o4-mini,text_only,"(11.54,14.12)","(5.77, 14.1)",N,llm_only,55991
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.17,Materials: Metals,openai/o4-mini,text_only,13.09,13.1,Y,llm_only,14293
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.18,Materials: Semiconductors,openai/o4-mini,text_only,2.14,2.14,Y,llm_only,40623
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 3.19,Materials: Metals,openai/o4-mini,text_only,3.95,7.91,N,llm_only,57865
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.3,Materials: Metals,openai/o4-mini,text_only,1.38\times10^{24},1.38E+24,N,llm_only,11814
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.4,Materials: Metals,openai/o4-mini,text_only,"(0.248,\;0.286)","(0.248, 0.286)",N,llm_only,10089
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 4.6,Structures: Micro/Nano-structure,openai/o4-mini,text_only,4.01,4.01,N,llm_only,11994
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.1,Materials: Metals,openai/o4-mini,text_only,329,328,Y,llm_only,14270
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.4,Materials: Metals,openai/o4-mini,text_only,3.7\times10^{4},10.2,N,llm_only,11466
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 5.7,Materials: Metals,openai/o4-mini,text_only,4.32\times10^{-4},4.32E-04,Y,llm_only,10664
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.2,Materials: Metals,openai/o4-mini,text_only,3.18\times10^{-3},3.18E-03,Y,llm_only,17604
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.3,Materials: Metals,openai/o4-mini,text_only,"(9.9964,\;10.0036)","(9.9964, 10.0036)",Y,llm_only,10378
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.4,Materials: Glasses,openai/o4-mini,text_only,4.0\times10^7,57,N,llm_only,14271
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.6,Materials: Metals,openai/o4-mini,text_only,"\bigl(1.2048\times10^{-3},\;0.76923,\;5.0\times10^{-6}\bigr)","(1.2 \times 10^{-3}, 0.77, 5.0 \times 10^{-6})",N,llm_only,8236
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.7,Materials: Metals,openai/o4-mini,text_only,2.76\times10^{5},280,N,llm_only,9295
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.8,Materials: Metals,openai/o4-mini,text_only,"(0.264,2.45)","(0.264, 2.45)",N,llm_only,9281
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.9,Materials: Metals,openai/o4-mini,text_only,240,240,Y,llm_only,13653
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.10,Materials: Metals,openai/o4-mini,text_only,8.7\times10^{-5},8.68E-05,N,llm_only,11763
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.12,Materials: Elastomers,openai/o4-mini,text_only,"(41.6,40.5)","(41.5, 40.5)",N,llm_only,10365
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 6.13,Materials: Glasses,openai/o4-mini,text_only,"(683,809,850,881)","(680, 858, 931, 993)",N,llm_only,13394
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.2,Materials: Metals,openai/o4-mini,text_only,0.858,0.858,Y,llm_only,10984
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.3,Materials: Metals,openai/o4-mini,text_only,1.99\times10^{6},1.99 \times 10^{6},Y,llm_only,8999
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 7.4,Materials: Metals,openai/o4-mini,text_only,"(67500,106500,270000)","(67500, 106500, 282000)",Y,llm_only,12529
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.2,Materials: Metals,openai/o4-mini,text_only,5.74\times10^{-3},5.74,Y,llm_only,7202
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.3,Materials: Ceramics,openai/o4-mini,text_only,"(3.38\times10^{2},1.02\times10^{3})","(339, 1020)",Y,llm_only,16862
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 8.6,Materials: Metals,openai/o4-mini,text_only,5.34\times 10^{-2},0.0534,Y,llm_only,7391
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.1,Materials: Metals,openai/o4-mini,text_only,1,1,Y,llm_only,10359
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 9.3,Materials: Metals,openai/o4-mini,text_only,"(0.333,0.667)","(333, 667)",N,llm_only,7342
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 10.1,Materials: Metals,openai/o4-mini,text_only,1.81\times10^5,181,N,llm_only,12401
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.1,Materials: Metals,openai/o4-mini,text_only,16.4,16.3,N,llm_only,10324
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.2,Materials: Glasses,openai/o4-mini,text_only,"(21.65,\;15.06,\;63.29)","(21.6, 15.0, 63.3)",Y,llm_only,17750
Introduction_to_Materials_Science_for_Engineers_Shackelford_Example 11.4,Materials: Ceramics,openai/o4-mini,text_only,698,698.0,Y,llm_only,15589
